200
plaque;marque;modele;millesime;kilometrage;categorie;prix;gearbox
GZ-661-MR;TataMotors;Tourneo-Connect;2010;166627;C;84699;0
CJ-875-MN;Volkswagen;Soul;2007;216953;A;126668;1
EF-561-EV;Suzuki;X2;2019;196846;A;115226;1
GR-458-IF;Subaru;CR-V;2009;107142;A;162462;1
JO-589-GR;Maserati;CR-V;2005;15020;C;155276;1
ZJ-068-BJ;AstonMartin;2-Series;2009;130708;C;115280;0
IX-105-BU;Toyota;Twingo;2006;251958;B;160685;0
QS-422-JH;Toyota;Qubo;2005;106024;A;66139;0
VS-691-OT;Mazda;Ignis;2005;136948;B;148147;0
GB-241-IZ;Kia;Grand-C4-SpaceTourer;2005;221884;B;162216;1
IS-957-BJ;Toyota;Mokka-X;2017;274553;A;112448;1
HE-185-GB;Renault;Mazda2;2014;35864;C;93817;1
NJ-620-TO;Mazda;X1;2017;250563;A;188082;1
TF-574-DO;Infiniti;5008-SUV;2019;184270;B;50569;1
GF-810-HU;Lexus;C-HR;2011;186208;A;169050;1
HV-703-XZ;BMW;Giulietta;2008;38836;C;101128;0
ZY-649-JN;Kia;Yaris;2013;123973;C;181711;0
KN-483-VJ;Lexus;108;2006;234908;B;118701;1
AD-435-JY;Suzuki;DS-3;2005;177172;B;83560;1
OA-207-EP;Jeep;Transporter-Shuttle;2007;145485;A;72922;1
WA-221-PN;Ferrari;i10;2014;78266;A;87426;1
SO-934-CJ;Koenigsegg;Kona;2010;297031;B;166459;0
GE-166-OL;Jeep;Baleno;2018;176173;C;98636;1
PD-365-XX;GeneralMotors;Renegade;2017;123984;A;194065;1
DH-683-EB;Suzuki;Qashqai;2008;229299;A;132511;0
BE-735-YI;Dodge;1-Series;2015;9070;A;147531;1
BE-169-WU;AstonMartin;Octavia;2010;238210;C;180913;0
YR-365-KP;TataMotors;Giulietta;2005;225851;C;47159;1
ZK-572-XR;AstonMartin;Insignia-Country-Tourer;2018;126437;C;87851;1
KQ-499-WH;BMW;ADAM;2015;244682;A;40589;1
IC-856-BS;TataMotors;C3-Aircross;2006;207296;A;172744;1
KU-551-XH;Jeep;2008-SUV;2008;23030;B;66913;0
WI-070-FC;Infiniti;Golf;2009;293474;A;32681;0
NB-203-UA;Citroen;Juke;2015;269362;C;29290;0
XH-652-EN;Maserati;Grand-Tourneo-Connect;2015;163211;B;65096;0
FC-458-EH;Citroen;Panda;2016;139649;A;30686;0
KE-576-YZ;Volkswagen;Trafic;2006;9685;A;137412;0
NU-782-ST;Dodge;Captur;2013;50330;B;97021;0
UG-151-AO;Lexus;Eclipse-Cross;2015;18819;A;183966;0
ZC-587-ZJ;Suzuki;IONIQ;2012;252600;A;22321;1
MA-421-DL;Renault;308;2006;59738;C;24890;1
EA-265-IP;Subaru;Rio;2018;81872;B;171315;0
VA-904-AX;Toyota;Niro;2012;122580;A;92662;1
IG-090-ZG;TataMotors;Clio;2012;269419;C;134378;0
PL-086-EH;Suzuki;Tourneo-Connect;2009;164453;C;141659;0
TU-591-IL;Bentley;Ateca;2006;146748;B;157943;1
RL-404-HG;Renault;Combo-Life;2016;121524;C;166112;1
SR-767-UC;Ferrari;500X;2013;16973;C;58246;0
LF-674-HU;TataMotors;Micra;2017;177289;C;27263;0
JF-376-GY;Bentley;Ateca;2007;138476;A;46109;0
VJ-924-ND;Toyota;Kuga;2017;113627;C;115459;1
AK-476-QJ;Subaru;C3;2013;108321;A;58886;1
MN-751-YO;Dodge;Baleno;2019;281627;A;42184;1
HQ-526-PZ;Koenigsegg;i800;2005;138973;B;47421;0
HT-521-FZ;Lexus;Picanto;2005;119013;B;53298;0
WP-177-RW;Suzuki;Citigo;2014;267495;A;108294;1
YZ-441-ZW;AstonMartin;C4-Cactus;2006;220621;B;144229;0
RW-057-UK;Maserati;Jazz;2017;246954;B;125788;0
WW-545-QH;Peugeot;fortwo;2017;246497;B;20919;1
NS-998-NA;Subaru;IONIQ;2007;48125;C;121895;0
LW-100-AK;Infiniti;Logan-MCV-Stepway;2011;97065;B;40415;0
XE-891-RL;Subaru;Vito;2011;20933;C;41131;1
JD-954-MX;Peugeot;Crossland-X;2011;24858;C;26867;1
YH-315-HP;Toyota;Tiguan;2006;254631;C;30310;0
YR-970-FB;Dodge;Micra;2017;54505;B;177756;0
SL-780-BK;GeneralMotors;CLA;2016;77707;C;29381;0
AL-488-FX;Bentley;Qashqai;2009;73262;C;58184;0
XG-684-IQ;Citroen;Galaxy;2007;83770;B;41635;1
IT-796-SD;Bentley;Ibiza;2006;157683;A;170829;0
XQ-996-UB;Bentley;Galaxy;2018;166662;A;151940;0
LO-475-DT;Mazda;Tourneo-Connect;2010;59200;A;90116;0
PQ-254-UJ;Infiniti;2-Series;2016;219807;B;19781;0
QT-115-CF;AstonMartin;508;2007;43197;C;107782;0
DA-798-PW;Lexus;Mokka-X;2018;298648;A;80708;0
YY-149-AG;Ferrari;Mii;2019;245903;A;118091;1
MG-757-AT;Subaru;Yaris;2011;23103;C;64805;0
RM-958-PN;Ferrari;108;2013;167824;A;199208;1
KD-424-GH;Suzuki;Jazz;2009;239640;C;77604;1
TU-790-OP;Peugeot;Fabia;2019;14188;C;49958;1
ZH-600-ET;Peugeot;Doblo;2017;216307;C;126801;0
OS-880-UK;Renault;108;2005;89413;B;110834;1
IF-631-JN;Renault;Ibiza;2009;102086;B;75747;1
YS-734-KC;GeneralMotors;Transporter-Shuttle;2014;72580;A;143854;0
ZQ-953-GH;Kia;Superb;2017;98057;C;149784;0
FL-474-OG;Subaru;2008-SUV;2007;75657;C;70262;1
SZ-086-JX;Toyota;C3;2006;10926;B;188279;1
TU-951-UL;Mazda;Mirage;2019;281724;B;166909;0
SU-422-GP;Kia;Logan-MCV-Stepway;2009;220585;A;141705;1
CR-881-NN;Renault;Caddy;2013;144737;A;157052;0
XY-854-VL;Citroen;C5-Aircross;2010;112730;A;151865;0
RD-140-PH;Peugeot;Mazda6;2008;26842;C;199643;1
EM-759-XR;Infiniti;Caddy;2013;73551;C;126583;1
QW-014-GT;Bentley;Picanto;2017;139636;B;77486;1
TR-088-KK;Dodge;Fabia;2009;44850;A;112338;1
BL-918-CJ;Suzuki;Golf-SV;2013;226453;C;34495;0
OB-558-EW;Toyota;Rifter;2009;133268;B;158756;0
HB-920-QJ;Kia;fortwo;2007;195559;B;196336;0
DU-139-NC;Peugeot;Ateca;2014;280808;A;142514;0
CF-830-XU;Lexus;Prius;2018;153348;C;185476;1
DU-441-MW;TataMotors;Mazda6;2006;152604;C;45538;0
DF-929-IK;Suzuki;Polo;2005;293827;C;66545;1
RP-600-PC;TataMotors;Galaxy;2017;246972;B;179257;0
SJ-781-UB;Maserati;ZS;2019;199129;B;108856;0
WE-235-PZ;AstonMartin;500C;2017;226884;B;177680;1
GJ-653-VE;Ferrari;Prius;2010;18252;B;119901;0
HF-664-FM;GeneralMotors;Golf-SV;2019;261505;A;131847;1
DM-098-JR;GeneralMotors;Tourneo-Courier;2015;224107;C;162386;0
KG-761-FK;Jeep;Venga;2019;187720;A;181667;1
WU-033-EI;Dodge;Vito;2006;246413;A;79418;0
LP-866-VM;Peugeot;i10;2017;72413;C;28416;0
OO-198-JK;BMW;Logan-MCV-Stepway;2017;283619;A;118517;0
MO-886-GR;Citroen;C1;2011;17291;C;136837;1
YS-800-MT;Volkswagen;Galaxy;2016;57708;C;44787;0
PL-212-JM;Infiniti;2008-SUV;2005;200246;C;162646;0
JS-838-EI;Suzuki;C-HR;2005;240847;B;121871;0
VD-715-DH;Ferrari;ix20;2009;136629;A;90105;1
MG-060-XE;Peugeot;SpaceTourer;2015;155542;B;113898;1
BT-570-UL;GeneralMotors;Superb;2011;284007;C;176122;1
GP-631-EM;Dodge;Swift;2008;30578;B;109231;1
TX-844-FX;Ferrari;Eclipse-Cross;2019;209748;C;72615;0
GB-770-QT;Mazda;Trafic;2015;154864;A;175171;0
BP-887-RJ;BMW;Golf;2006;199806;C;17162;1
IT-482-UO;Mazda;Berlingo;2011;99328;C;154323;1
IG-543-XD;Jeep;Superb;2019;284279;C;17503;1
NY-256-DB;Lexus;Duster;2014;285154;A;63036;0
BQ-385-DF;Dodge;IONIQ;2014;264787;B;65289;1
SJ-573-QS;Bentley;C-Class;2008;91562;C;48292;0
CD-186-NN;Subaru;Rifter;2006;191406;C;157927;0
EN-310-DR;Dodge;Kona;2014;248150;C;45324;1
ZT-545-GD;Infiniti;2008-SUV;2019;169670;A;165320;0
CF-547-WB;BMW;CLA;2014;258521;A;27125;0
GI-616-LT;GeneralMotors;1-Series;2007;275006;C;70593;0
WU-126-IX;Infiniti;Tiguan-Allspace;2006;49304;B;66478;0
ZE-062-PH;Renault;S-MAX;2014;46209;C;38274;0
PT-533-SQ;Infiniti;C-Class;2018;108341;C;15296;0
KI-915-OW;Toyota;CLA;2015;286961;C;135130;1
TV-692-NF;Koenigsegg;Twingo;2016;4553;C;60988;0
RF-604-ON;Peugeot;Swift;2011;70010;A;59318;0
OF-252-DT;Renault;Crossland-X;2009;93838;A;185944;1
MX-858-DX;AstonMartin;Mii;2019;157690;A;189668;0
OH-368-ZN;Kia;Ateca;2008;217275;C;41694;0
OM-323-JR;Renault;Sandero;2018;292040;A;110216;1
GB-336-KD;Renault;PROACE-Verso;2013;281265;A;82290;0
GV-585-UU;AstonMartin;Tucson;2010;49858;A;140621;1
JQ-632-YW;Dodge;Q2;2011;160169;A;38656;1
PN-864-QH;Ferrari;Duster;2012;182661;B;149658;1
GM-196-OC;Koenigsegg;T-ROC;2012;146954;C;134202;1
IM-045-SL;Toyota;Mirage;2009;108187;B;121939;0
CW-727-RX;AstonMartin;Mini-Countryman;2012;37483;C;179723;1
FS-615-TH;Suzuki;MG3;2005;197461;A;142867;0
HA-564-OS;Subaru;Octavia;2016;113732;C;39182;0
VP-262-EZ;Infiniti;Qashqai;2017;248495;A;101500;1
GS-866-ZS;Ferrari;C5-Aircross;2014;49894;A;135528;1
AE-317-IZ;Suzuki;C3;2013;223275;A;36462;0
BB-525-QP;Peugeot;Kadjar;2007;98077;C;30434;0
HR-953-MM;BMW;X2;2011;290683;C;81485;0
BL-881-KF;Volkswagen;MG3;2013;137247;A;141378;0
TN-026-WG;Kia;2008-SUV;2018;66780;A;133281;0
PT-440-GQ;BMW;X2;2010;47190;A;179385;1
LM-090-VL;Kia;Venga;2007;121824;C;122008;0
EN-554-OS;Lexus;Citigo;2012;276909;B;73151;1
HC-519-DP;AstonMartin;Tipo;2012;260547;C;111268;1
